Delivery Date,Hour Ending,Price,Time_Index,Date,Year
01/16/2018,07:00,60.96,367,2018-01-16 06:00:00,2018
03/25/2018,17:00,60.75,2008,2018-03-25 15:00:00,2018
11/26/2018,08:00,60.65,7904,2018-11-26 07:00:00,2018
11/06/2018,16:00,60.61,7432,2018-11-06 15:00:00,2018
06/13/2018,17:00,60.53,3928,2018-06-13 15:00:00,2018
01/19/2018,07:00,60.51,439,2018-01-19 06:00:00,2018
08/02/2018,15:00,60.5,5126,2018-08-02 13:00:00,2018
05/09/2018,17:00,60.46,3088,2018-05-09 15:00:00,2018
07/07/2018,17:00,60.46,4504,2018-07-07 15:00:00,2018
02/22/2018,07:00,60.45,1255,2018-02-22 06:00:00,2018
01/16/2018,17:00,60.25,377,2018-01-16 16:00:00,2018
12/02/2018,18:00,60.18,8058,2018-12-02 17:00:00,2018
05/17/2018,14:00,60.13,3277,2018-05-17 12:00:00,2018
10/16/2018,20:00,60.06,6931,2018-10-16 18:00:00,2018
07/19/2018,19:00,60.05,4794,2018-07-19 17:00:00,2018
05/15/2018,14:00,60.05,3229,2018-05-15 12:00:00,2018
10/30/2018,19:00,59.97,7266,2018-10-30 17:00:00,2018
06/06/2018,16:00,59.9,3759,2018-06-06 14:00:00,2018
05/20/2018,17:00,59.84,3352,2018-05-20 15:00:00,2018
08/03/2018,16:00,59.83,5151,2018-08-03 14:00:00,2018
05/09/2018,16:00,59.81,3087,2018-05-09 14:00:00,2018
12/10/2018,18:00,59.81,8250,2018-12-10 17:00:00,2018
05/13/2018,16:00,59.76,3183,2018-05-13 14:00:00,2018
12/09/2018,09:00,59.72,8217,2018-12-09 08:00:00,2018
10/10/2018,17:00,59.62,6784,2018-10-10 15:00:00,2018
12/04/2018,18:00,59.6,8106,2018-12-04 17:00:00,2018
08/27/2018,16:00,59.52,5727,2018-08-27 14:00:00,2018
08/06/2018,16:00,59.49,5223,2018-08-06 14:00:00,2018
06/07/2018,16:00,59.47,3783,2018-06-07 14:00:00,2018
12/09/2018,20:00,59.34,8228,2018-12-09 19:00:00,2018
